2011-12-22 17:41:52.615, 1987, 1998, Child CHILD-1998 is created!
2011-12-22 17:41:52.623, 1987, 2006, Child CHILD-2006 is created!
2011-12-22 17:41:52.623, 1987, 2004, Child CHILD-2004 is created!
2011-12-22 17:41:52.625, 1987, 1995, Child CHILD-1995 is created!
2011-12-22 17:41:52.655, 1987, 1993, Child CHILD-1993 is created!
2011-12-22 17:41:52.655, 1987, 1997, Child CHILD-1997 is created!
2011-12-22 17:41:52.667, 1987, 2000, Child CHILD-2000 is created!
2011-12-22 17:41:52.673, 1987, 1999, Child CHILD-1999 is created!
2011-12-22 17:41:52.674, 1987, 2003, Child CHILD-2003 is created!
2011-12-22 17:41:52.682, 1987, 1996, Child CHILD-1996 is created!
2011-12-22 17:41:52.685, 1987, 1992, Child CHILD-1992 is created!
2011-12-22 17:41:52.686, 1987, 1992, The key is found! Key is: 00000000000000000000000000000000000000000000000000000000
2011-12-22 17:41:52.689, 1987, 1987, Child process CHILD-1992 is terminated!
2011-12-22 17:41:52.689, 1987, 1987, All child processes will be terminated now!
2011-12-22 17:41:52.692, 1987, 1987, Child process CHILD-1993 is terminated!
2011-12-22 17:41:52.692, 1987, 1987, Child process CHILD-1994 is terminated!
2011-12-22 17:41:52.692, 1987, 1987, Child process CHILD-1995 is terminated!
2011-12-22 17:41:52.692, 1987, 1987, Child process CHILD-1996 is terminated!
2011-12-22 17:41:52.692, 1987, 1987, Child process CHILD-1997 is terminated!
2011-12-22 17:41:52.692, 1987, 1987, Child process CHILD-1998 is terminated!
2011-12-22 17:41:52.692, 1987, 1987, Child process CHILD-1999 is terminated!
2011-12-22 17:41:52.692, 1987, 1987, Child process CHILD-2000 is terminated!
2011-12-22 17:41:52.692, 1987, 1987, Child process CHILD-2001 is terminated!
2011-12-22 17:41:52.692, 1987, 1987, Child process CHILD-2002 is terminated!
2011-12-22 17:41:52.692, 1987, 1987, Child process CHILD-2003 is terminated!
2011-12-22 17:41:52.692, 1987, 1987, Child process CHILD-2004 is terminated!
2011-12-22 17:41:52.692, 1987, 1987, Child process CHILD-2005 is terminated!
2011-12-22 17:41:52.693, 1987, 1987, Child process CHILD-2006 is terminated!
2011-12-22 17:41:52.693, 1987, 1987, Child process CHILD-2007 is terminated!
2011-12-22 17:41:52.693, 1987, 1987, Main process ended!
2011-12-22 17:42:05.625, 2008, 2008, Main process started!
2011-12-22 17:42:05.647, 2008, 2008, Key is: 00000000000000000000000000000000000000000111101000000000
2011-12-22 17:42:05.647, 2008, 2008, A new child will be created!
2011-12-22 17:42:05.647, 2008, 2008, Created CHILD-2013!
2011-12-22 17:42:05.647, 2008, 2008, A new child will be created!
2011-12-22 17:42:05.647, 2008, 2008, Created CHILD-2014!
2011-12-22 17:42:05.647, 2008, 2008, A new child will be created!
2011-12-22 17:42:05.648, 2008, 2008, Created CHILD-2015!
2011-12-22 17:42:05.648, 2008, 2008, A new child will be created!
2011-12-22 17:42:05.648, 2008, 2008, Created CHILD-2016!
2011-12-22 17:42:05.648, 2008, 2008, A new child will be created!
2011-12-22 17:42:05.648, 2008, 2008, Created CHILD-2017!
2011-12-22 17:42:05.648, 2008, 2008, A new child will be created!
2011-12-22 17:42:05.649, 2008, 2008, Created CHILD-2018!
2011-12-22 17:42:05.649, 2008, 2008, A new child will be created!
2011-12-22 17:42:05.649, 2008, 2008, Created CHILD-2019!
2011-12-22 17:42:05.649, 2008, 2008, A new child will be created!
2011-12-22 17:42:05.649, 2008, 2008, Created CHILD-2020!
2011-12-22 17:42:05.649, 2008, 2008, A new child will be created!
2011-12-22 17:42:05.649, 2008, 2008, Created CHILD-2021!
2011-12-22 17:42:05.649, 2008, 2008, A new child will be created!
2011-12-22 17:42:05.650, 2008, 2008, Created CHILD-2022!
2011-12-22 17:42:05.650, 2008, 2008, A new child will be created!
2011-12-22 17:42:05.652, 2008, 2008, Created CHILD-2023!
2011-12-22 17:42:05.652, 2008, 2008, A new child will be created!
2011-12-22 17:42:05.653, 2008, 2008, Created CHILD-2024!
2011-12-22 17:42:05.653, 2008, 2008, A new child will be created!
2011-12-22 17:42:05.653, 2008, 2008, Created CHILD-2025!
2011-12-22 17:42:05.653, 2008, 2008, A new child will be created!
2011-12-22 17:42:05.653, 2008, 2008, Created CHILD-2026!
2011-12-22 17:42:05.653, 2008, 2008, A new child will be created!
2011-12-22 17:42:05.653, 2008, 2008, Created CHILD-2027!
2011-12-22 17:42:05.653, 2008, 2008, A new child will be created!
2011-12-22 17:42:05.654, 2008, 2008, Created CHILD-2028!
2011-12-22 17:42:05.656, 2008, 2014, Child CHILD-2014 is created!
2011-12-22 17:42:05.657, 2008, 2015, Child CHILD-2015 is created!
2011-12-22 17:42:05.661, 2008, 2013, Child CHILD-2013 is created!
2011-12-22 17:42:05.667, 2008, 2016, Child CHILD-2016 is created!
2011-12-22 17:42:05.667, 2008, 2021, Child CHILD-2021 is created!
2011-12-22 17:42:05.676, 2008, 2019, Child CHILD-2019 is created!
2011-12-22 17:42:05.678, 2008, 2017, Child CHILD-2017 is created!
2011-12-22 17:42:05.690, 2008, 2022, Child CHILD-2022 is created!
2011-12-22 17:42:05.692, 2008, 2018, Child CHILD-2018 is created!
